Word	JDIC Sequence Number	Reading	Kanji	Parts of Speech	Meanings	Related Words
羨む	1391950	うらやむ	羨	Godan verb with `mu' ending, transitive verb	1: to envy	
差す	1291330	さす	差	Godan verb with `su' ending, intransitive verb, suffix	1: to shine<br><br>1: to be visible<br><br>1: to be tinged with<br><br>1: to rise (of water levels)<br>2: to flow in<br><br>1: to be felt (i.e. as an emotion)<br>2: to come over one<br><br>1: to hold up (an umbrella, etc.)<br>2: to put up<br>3: to raise<br><br>1: to extend one's arm straight ahead (in dance)<br><br>1: to insert<br>2: to put in<br><br>1: to wear (a sword) in one's belt<br>2: to wear at one's side<br>3: to carry under one's arm<br><br>1: to insert one's arm under an opponent's arm<br><br>1: to pole (a boat)<br><br>1: to pour<br>2: to add (liquid)<br>3: to serve (drinks)<br><br>1: to put on (lipstick, etc.)<br>2: to apply<br>3: to colour<br>4: to dye<br><br>1: to light (a fire)<br>2: to burn<br><br>1: to shut<br>2: to close<br>3: to lock<br>4: to fasten<br><br>1: to stop in the midst of<br>2: to leave undone	射す; 気が差す; 魔が差す; 指す・5; 挿す・1; 挿す・4; 刺す・4; 注す・1; 鎖す・さす・1; 止す・さす
差し	2423450	さし	差	noun, prefix, counter	1: between (e.g. two people)<br>2: face to face<br><br>1: hindrance<br>2: impediment<br><br>1: arrhythmic section of recitative in Noh music<br><br>1: prefix used for stress or emphasis<br><br>1: counter for traditional dance songs	
着く	1422970	つく	着	Godan verb with `ku' ending, intransitive verb	1: to arrive at<br>2: to reach<br><br>1: to sit on<br>2: to sit at (e.g. the table)	席に着く
着せる	1422990	きせる	着	Ichidan verb, transitive verb	1: to put clothes on (someone)<br><br>1: to plate<br>2: to gild<br>3: to veneer<br><br>1: to accuse (of some crime)<br>2: to give (a bad name)	
着る	1423000	きる	着	Ichidan verb, transitive verb	1: to wear (in modern Japanese, from the shoulders down)<br>2: to put on<br><br>1: to bear (guilt, etc.)	
焦がす	1350710	こがす	焦	Godan verb with `su' ending, transitive verb	1: to burn<br>2: to scorch<br>3: to singe<br>4: to char	
焦がれる	1350720	こがれる	焦	Ichidan verb	1: to yearn for<br>2: to be in love with	
焦げる	1350730	こげる	焦	Ichidan verb, intransitive verb	1: to burn<br>2: to be burned	
焦る	1350780	あせる	焦	Godan verb with `ru' ending, intransitive verb	1: to be in a hurry<br>2: to be impatient<br>3: to be flustered<br>4: to lose one's presence of mind<br>5: to be surprised	
集う	1333540	つどう	集	Godan verb with `u' ending	1: to meet<br>2: to assemble<br>3: to congregate	
集まる	1333550	あつまる	集	Godan verb with `ru' ending, intransitive verb	1: to gather<br>2: to collect<br>3: to assemble	
集める	1333560	あつめる	集	Ichidan verb, transitive verb	1: to collect<br>2: to assemble<br>3: to gather	
進む	1365980	すすむ	進	Godan verb with `mu' ending, intransitive verb	1: to advance<br>2: to go forward<br><br>1: to precede<br>2: to go ahead (of)<br><br>1: to make progress<br>2: to improve<br><br>1: to deepen<br>2: to heighten<br><br>1: to be fast (of a clock)<br>2: to be ahead<br><br>1: to do of one's own free will	進んで
進める	1365990	すすめる	進	Ichidan verb, transitive verb	1: to advance<br>2: to promote<br>3: to hasten	
雌	1312880	めす	雌	noun, nouns which may take the genitive case particle `no'	1: female (animal)	雄
準える	1341500	なぞらえる	準	Ichidan verb, transitive verb	1: to pattern after<br>2: to liken to<br>3: to imitate	
準じる	1341510	じゅんじる	準	Ichidan verb, intransitive verb	1: to follow<br>2: to conform<br>3: to apply to	
準ずる	1341520	じゅんずる	準	Ichidan verb - zuru verb, intransitive verb	1: to apply correspondingly<br>2: to correspond to<br>3: to be proportionate to<br>4: to conform to	準じる
奮う	1504700	ふるう	奮	Godan verb with `u' ending	1: to muster (e.g. one's courage)<br>2: to call forth<br>3: to rouse up<br>4: to be enlivened<br>5: to be invigorated	
奪う	1416340	うばう	奪	Godan verb with `u' ending, transitive verb	1: to snatch away<br>2: to dispossess<br>3: to steal	
確かめる	1205780	たしかめる	確	Ichidan verb, transitive verb	1: to ascertain<br>2: to check<br>3: to make sure	
確か	1596930	たしか	確	adjectival nouns or quasi-adjectives, noun, adverb	1: sure<br>2: certain<br>3: positive<br>4: definite<br><br>1: reliable<br>2: trustworthy<br>3: safe<br>4: sound<br>5: firm<br>6: accurate<br>7: correct<br>8: exact<br><br>1: If I'm not mistaken<br>2: If I remember correctly<br>3: If I remember rightly	
午	1268970	うま	午	noun	1: seventh sign of Chinese zodiac (The Horse, 11am-1pm, south, May)	
許す	1232870	ゆるす	許	Godan verb with `su' ending, transitive verb	1: to permit<br>2: to allow<br>3: to approve<br>4: to tolerate<br><br>1: to exempt (from fine)<br>2: to excuse (from)<br>3: to pardon<br>4: to forgive<br>5: to release<br>6: to let off<br><br>1: to confide in<br><br>1: to give up<br>2: to yield	
羽	1171680	はね	羽	noun	1: feather<br>2: plume<br>3: wing<br><br>1: blade (fan, propeller, etc.)	
羽	1607310	わ	羽	counter	1: counter for birds and rabbits	
習い	1333060	ならい	習	noun	1: as is habit<br>2: the way life normally is	
習う	1333070	ならう	習	Godan verb with `u' ending, transitive verb	1: to take lessons in<br>2: to be taught<br>3: to learn (from a teacher)<br>4: to study (under a teacher)<br>5: to get training in	
濯ぐ	1581550	すすぐ	濯	Godan verb with `gu' ending, transitive verb	1: to rinse<br>2: to wash out<br><br>1: to have one's revenge<br>2: to wipe out a disgrace	
曰く	1567950	いわく	曰	noun, adverbial noun	1: pretext<br>2: history<br>3: past<br>4: story<br><br>1: according to ...<br>2: ... says	
困る	1289590	こまる	困	Godan verb with `ru' ending, intransitive verb	1: to be troubled<br>2: to be worried<br>3: to be bothered<br>4: to be embarrassed<br>5: to be stumped	
固まる	1266550	かたまる	固	Godan verb with `ru' ending, intransitive verb	1: to harden<br>2: to solidify<br><br>1: to become firm<br>2: to become certain<br><br>1: to gather (together)<br>2: to assemble<br>3: to huddle together	
固める	1266570	かためる	固	Ichidan verb, transitive verb	1: to harden<br>2: to freeze<br>3: to strengthen<br>4: to solidify<br>5: to make (a fist)<br>6: to tramp down (snow, dirt)<br><br>1: to put together<br>2: to collect<br>3: to gather<br>4: to consolidate<br><br>1: to make secure<br>2: to stabilize<br>3: to settle down<br>4: to strengthen (belief, resolution, etc.)<br>5: to establish (evidence)<br><br>1: to fortify<br>2: to reinforce<br>3: to support<br><br>1: to wear for a specific purpose (armor, coat, etc.)<br><br>1: to swear<br>2: to resolutely vow<br>3: to sincerely promise<br><br>1: to tie tightly<br>2: to fasten<br><br>1: to hold a bow fully drawn	土を固める・つちをかためる; 身を固める・みをかためる・1; 国境を固める・こっきょうをかためる; 嘘で固める・うそでかためる
国	1592250	くに	国	noun	1: country<br>2: state<br><br>1: region<br><br>1: national government<br>2: central government<br><br>1: home (i.e. hometown, home country)<br><br>1: province (of Japan)<br><br>1: land<br>2: earth	国郡里制
因る	1168660	よる	因	Godan verb with `ru' ending, intransitive verb	1: to be due to<br>2: to be caused by<br><br>1: to depend on<br>2: to turn on<br><br>1: to be based on<br>2: to come from	
因む	2008910	ちなむ	因	Godan verb with `mu' ending, intransitive verb	1: to be associated (with)<br>2: to be connected (with)	に因んで
園	1176240	その	園	noun, noun, used as a suffix	1: garden (esp. man-made)<br>2: orchard<br>3: park<br>4: plantation<br><br>1: place<br>2: location	りんご園; 学びの園
回す	1199350	まわす	回	Godan verb with `su' ending, transitive verb, suffix	1: to turn<br>2: to rotate<br>3: to gyrate<br><br>1: to circulate<br>2: to send around<br><br>1: to surround<br><br>1: to put something to a new use (e.g. leftovers)<br><br>1: (after the -masu stem of a verb) ... around (i.e. to chase someone around)<br><br>1: to dial (e.g. telephone number)<br><br>1: to invest<br><br>1: to gang-rape	輪姦す
回る	1604300	まわる	回	Godan verb with `ru' ending, intransitive verb	1: to turn<br>2: to revolve<br><br>1: to visit several places<br><br>1: to function well<br><br>1: to pass a certain time	ぐるぐる・1
回る	1605260	もとおる	回	Godan verb with `ru' ending, intransitive verb	1: to wander around	
店	1582120	みせ	店	noun	1: store<br>2: shop<br>3: establishment<br>4: restaurant	
店	2409230	たな	店	noun	1: merchant's home<br><br>1: rented home<br><br>1: store<br>2: shop	御店・1; 御店・2; 見世棚・2
庭	1436130	にわ	庭	noun	1: garden<br>2: yard<br>3: courtyard<br><br>1: field (of action)<br>2: area	
床	1349370	とこ	床	noun	1: bed<br>2: bedding<br><br>1: sickbed<br><br>1: alcove<br><br>1: riverbed<br><br>1: seedbed<br><br>1: straw "core" of a tatami mat<br><br>1: floor	床の間; 床・ゆか・1
床	1349380	ゆか	床	noun	1: floor<br><br>1: stage (for the narrator and the shamisen player)<br><br>1: dining platform built across a river	
麻	1524290	あさ	麻	noun	1: cannabis (Cannabis sativa)<br>2: hemp (plant)<br><br>1: hemp (fiber)<br>2: linen<br>3: flax<br>4: jute	
磨く	1523940	みがく	磨	Godan verb with `ku' ending, transitive verb	1: to polish<br>2: to shine<br>3: to brush (e.g. teeth)<br><br>1: to refine<br>2: to improve	
心	1360480	こころ	心	noun	1: mind<br>2: heart<br>3: spirit<br><br>1: the meaning of a phrase (riddle, etc.)	
忘れる	1519210	わすれる	忘	Ichidan verb, transitive verb	1: to forget<br>2: to leave carelessly<br>3: to be forgetful of<br>4: to forget about<br>5: to forget (an article)	
忍ばせる	1467390	しのばせる	忍	Ichidan verb, transitive verb	1: to conceal<br>2: to hide	
忍ぶ	1467450	しのぶ	忍	Godan verb with `bu' ending, transitive verb	1: to conceal oneself<br>2: to hide<br><br>1: to endure	
忍	2179930	しのぶ	忍	noun	1: Davallia mariesii (species of fern)<br><br>1: Lepisorus thunbergiana (species of fern)<br><br>1: color of clothing layers under one's overcoat (light green on blue)<br><br>1: ancient women's hairstyle<br><br>1: clothing patterned using the fern Davallia mariesii	軒忍; 襲の色目; 忍髷; 忍摺
認める	1467520	したためる	認	Ichidan verb, transitive verb	1: to write up	
認める	1467530	みとめる	認	Ichidan verb, transitive verb	1: to recognize<br>2: to recognise<br>3: to observe<br>4: to notice<br><br>1: to deem<br>2: to judge<br>3: to assess<br><br>1: to approve<br>2: to deem acceptable<br>3: to allow<br><br>1: to admit<br>2: to accept<br>3: to confess (to a charge)<br><br>1: to watch steadily<br>2: to observe carefully<br><br>1: to renown<br>2: to give renown to<br>3: to appreciate<br>4: to acknowledge	
忌まわしい	1220070	いまわしい	忌	adjective	1: unpleasant<br>2: disagreeable<br>3: abominable<br>4: disgusting<br>5: unsavory<br><br>1: unlucky<br>2: inauspicious	
忌み	1220080	いみ	忌	noun, noun, used as a prefix	1: mourning<br>2: abstinence<br><br>1: taboo<br><br>1: religious purification<br><br>1: pure<br>2: holy	
忌む	1220090	いむ	忌	Godan verb with `mu' ending, intransitive verb	1: to avoid<br>2: to refrain from<br>3: to shun<br><br>1: to detest	
志	1309050	こころざし	志	noun	1: will<br>2: intention<br>3: motive	
志す	1309060	こころざす	志	Godan verb with `su' ending, intransitive verb	1: to plan<br>2: to intend<br>3: to aspire to<br>4: to set aims (sights on)	
串	1246450	くし	串	noun	1: spit<br>2: skewer	
患う	1212200	わずらう	患	Godan verb with `u' ending, intransitive verb, suffix	1: to be ill<br>2: to suffer from<br><br>1: to worry about<br>2: to be concerned about<br><br>1: to have trouble doing ...<br>2: to be unable to ...<br>3: to fail to ...	
思う	1589350	おもう	思	Godan verb with `u' ending, transitive verb	1: to think<br>2: to consider<br>3: to believe<br><br>1: to think (of doing)<br>2: to plan (to do)<br><br>1: to judge<br>2: to assess<br>3: to regard<br><br>1: to imagine<br>2: to suppose<br>3: to dream<br><br>1: to expect<br>2: to look forward to<br><br>1: to feel<br>2: to desire<br>3: to want<br><br>1: to recall<br>2: to remember	
応える	1179810	こたえる	応	Ichidan verb, intransitive verb	1: to respond<br>2: to answer<br>3: to meet (e.g. demands, expectations)<br><br>1: to affect<br>2: to take a toll<br>3: to strike home<br>4: to have an effect on<br>5: to be hard on someone (e.g. heat, cold, work, illness, etc.)<br>6: to be a strain	堪える
息	1404320	いき	息	noun	1: breath<br>2: breathing<br><br>1: tone<br>2: mood	息が合う
憩い	1250580	いこい	憩	noun, nouns which may take the genitive case particle `no'	1: rest	
憩う	1250590	いこう	憩	Godan verb with `u' ending, intransitive verb	1: to rest<br>2: to relax<br>3: to repose	
恵み	1250470	めぐみ	恵	noun	1: blessing<br>2: grace	
恵む	1250480	めぐむ	恵	Godan verb with `mu' ending, transitive verb	1: to bless<br>2: to show mercy to<br><br>1: to give (money, etc.)	
恐ろしい	1236690	おそろしい	恐	adjective	1: terrible<br>2: dreadful<br>3: terrifying<br>4: frightening<br>5: frightened<br><br>1: surprising<br>2: startling<br>3: tremendous<br>4: amazing	
恐る	1496960	おそる	恐	Nidan verb, Yodan verb with `ru' ending, intransitive verb	1: to fear<br>2: to be afraid	恐れる・おそれる; 恐るべき・おそるべき
恐れる	1589200	おそれる	恐	Ichidan verb, transitive verb	1: to fear<br>2: to be afraid of	
惑う	1562570	まどう	惑	Godan verb with `u' ending, intransitive verb	1: to be puzzled<br>2: to be perplexed<br>3: to have doubts<br>4: to feel lost<br>5: to be at sea	
憂い	1540730	うい	憂	adjective	1: unhappy<br>2: sad<br>3: gloomy	
憂い	1540740	うれい	憂	noun	1: sorrow<br>2: grief<br>3: anguish<br>4: distress<br><br>1: trouble<br>2: affliction<br>3: anxiety<br>4: fear<br>5: misgivings	
憂える	1588580	うれえる	憂	Ichidan verb, transitive verb	1: to grieve<br>2: to lament<br>3: to be anxious<br>4: to be distressed	
憂き	2806910	うき	憂	pre-noun adjectival, noun	1: unhappy<br>2: sad<br>3: gloomy	憂い・うい
忙しい	1519290	いそがしい	忙	adjective	1: busy<br>2: hectic<br>3: occupied<br>4: engaged	
悼む	1446980	いたむ	悼	Godan verb with `mu' ending, transitive verb	1: to grieve over<br>2: to mourn<br>3: to lament	
悟る	1270850	さとる	悟	Godan verb with `ru' ending, transitive verb	1: to perceive<br>2: to sense<br>3: to discern<br><br>1: to understand<br>2: to comprehend<br>3: to realize<br><br>1: to attain enlightenment	
怖がる	1496930	こわがる	怖	Godan verb with `ru' ending, intransitive verb	1: to be afraid of<br>2: to fear<br>3: to dread<br>4: to be nervous (about)<br>5: to be shy (of)	
怖じる	1496940	おじる	怖	Ichidan verb, intransitive verb	1: to be scared	
怖い	1593480	こわい	怖	adjective, interjection	1: scary<br>2: frightening<br>3: eerie<br>4: dreadful<br><br>1: (I'm) afraid	
慌ただしい	1278810	あわただしい	慌	adjective	1: busy<br>2: hurried<br>3: confused<br>4: flurried	
慌てる	1278830	あわてる	慌	Ichidan verb, intransitive verb	1: to become confused (disconcerted, disorganized, disorganised)<br>2: to be flustered<br>3: to panic<br><br>1: to be in a hurry<br>2: to rush	
悔いる	1200400	くいる	悔	Ichidan verb, transitive verb	1: to regret	
悔やむ	1200450	くやむ	悔	Godan verb with `mu' ending, transitive verb	1: to mourn<br>2: to lament<br><br>1: to be sorry<br>2: to regret<br>3: to repent	
悔しい	1592350	くやしい	悔	adjective	1: vexing<br>2: annoying<br>3: frustrating<br>4: regrettable<br>5: mortifying	
憎い	1403390	にくい	憎	adjective	1: hateful<br>2: abominable<br>3: poor-looking<br>4: detestable<br><br>1: amazing<br>2: fantastic<br>3: admirable<br>4: lovely<br>5: wonderful	
憎しみ	1403400	にくしみ	憎	noun	1: hatred	
憎む	1403440	にくむ	憎	Godan verb with `mu' ending, transitive verb	1: to hate<br>2: to detest	
憎らしい	1403450	にくらしい	憎	adjective	1: odious<br>2: hateful	憎たらしい
慣らす	1212650	ならす	慣	Godan verb with `su' ending, transitive verb	1: to accustom<br>2: to train (e.g. one's ear)<br><br>1: to tame<br>2: to domesticate<br>3: to train (e.g. an animal)	
慣れる	1212670	なれる	慣	Ichidan verb, intransitive verb	1: to get used to<br>2: to grow accustomed to<br>3: to become familiar with<br><br>1: to become skilled in<br>2: to become experienced at<br><br>1: to become tame<br>2: to become domesticated	
慎み	1361090	つつしみ	慎	noun	1: modesty<br>2: self-control<br>3: discretion	
慎む	1598000	つつしむ	慎	Godan verb with `mu' ending, transitive verb	1: to be careful<br>2: to be discreet<br><br>1: to do in moderation<br>2: to refrain (from overdoing)<br>3: to abstain<br><br>1: to be reverent<br><br>1: to be purified<br>2: to be chaste	
慕う	1514910	したう	慕	Godan verb with `u' ending, transitive verb	1: to yearn for<br>2: to long for<br>3: to pine for<br>4: to miss<br>5: to love dearly<br>6: to adore<br><br>1: to follow (someone)<br><br>1: to idolize (for virtue, learning, status, etc.)	
添う	1440810	そう	添	Godan verb with `u' ending	1: to meet (one's expectations, etc.)<br>2: to satisfy<br>3: to comply with<br><br>1: to accompany<br>2: to stay by one's side<br><br>1: to marry<br>2: to wed<br><br>1: to be added	沿う
添える	1596490	そえる	添	Ichidan verb, transitive verb	1: to garnish<br>2: to accompany (as a card does a gift)<br><br>1: to add to as support<br>2: to prop up<br><br>1: to accompany (as an aid, guide, translator, etc.)<br><br>1: to mimic<br>2: to imitate<br><br>1: to draw something near to oneself<br>2: to approach nearby	
必ず	1487400	かならず	必	adverb	1: always<br>2: without exception<br>3: necessarily<br>4: certainly<br>5: without fail<br>6: positively<br>7: invariably	
手	1327190	て	手	noun, noun, used as a suffix, counter	1: hand<br>2: arm<br><br>1: forepaw<br>2: foreleg<br><br>1: handle<br><br>1: hand<br>2: worker<br>3: help<br><br>1: trouble<br>2: care<br>3: effort<br><br>1: means<br>2: way<br>3: trick<br>4: move<br>5: technique<br>6: workmanship<br><br>1: hand<br>2: handwriting<br><br>1: kind<br>2: type<br>3: sort<br><br>1: one's hands<br>2: one's possession<br><br>1: ability to cope<br><br>1: hand (of cards)<br><br>1: direction<br><br>1: move (in go, shogi, etc.)	お手・おて・1; お手・おて・3; 手に入る; 手に余る; 山の手・1
看る	1213770	みる	看	Ichidan verb, transitive verb	1: to look after (often medically)<br>2: to take care of	
摩る	1523790	さする	摩	Godan verb with `ru' ending, transitive verb	1: to pat<br>2: to stroke<br><br>1: to rub off<br>2: to polish<br>3: to grind<br>4: to graze<br>5: to scrape<br><br>1: to be equal to<br><br>1: to be about to reach	
摩する	1982610	まする	摩	suru verb - special class	1: to rub<br>2: to scrub<br><br>1: to draw near<br>2: to press	
我	1196670	われ	我	pronoun, nouns which may take the genitive case particle `no', prefix	1: I<br>2: me<br><br>1: oneself<br><br>1: you<br><br>1: prefix indicating familiarity or contempt	
抱える	1516310	かかえる	抱	Ichidan verb, transitive verb	1: to hold or carry under or in the arms<br><br>1: to have (esp. problems, debts, etc.)<br><br>1: to employ<br>2: to engage<br>3: to hire	
抱く	1584090	いだく	抱	Godan verb with `ku' ending, transitive verb	1: to embrace<br>2: to hold in the arms (e.g. a baby)<br>3: to hug<br><br>1: to harbour (e.g. grudge) (harbor)<br>2: to bear (e.g. a grudge)<br>3: to entertain (e.g. suspicion)<br><br>1: to have sex with<br>2: to make love to<br>3: to sleep with<br><br>1: to sit on eggs	
抗う	2261110	あらがう	抗	Godan verb with `u' ending, intransitive verb	1: to go against<br>2: to fight against<br>3: to oppose<br>4: to resist<br>5: to deny	
招く	1349590	まねく	招	Godan verb with `ku' ending, transitive verb	1: to invite<br>2: to ask<br><br>1: to beckon<br>2: to wave someone in<br>3: to gesture to<br><br>1: to call in<br>2: to send for<br>3: to summon<br><br>1: to bring on oneself<br>2: to cause<br>3: to incur<br>4: to lead to<br>5: to result in	
拓く	2073120	ひらく	拓	Godan verb with `ku' ending, transitive verb	1: to open (e.g. path)<br>2: to clear (the way)<br>3: to break up (e.g. land)	開く・ひらく・9
打つ	1408810	うつ	打	Godan verb with `tsu' ending, transitive verb	1: to hit<br>2: to strike<br>3: to knock<br>4: to beat<br>5: to punch<br>6: to slap<br>7: to tap<br>8: to bang<br>9: to clap<br>10: to pound<br><br>1: to strike (noon, etc.)<br>2: to sound (cymbals, etc.)<br>3: to beat (a drum, etc.)<br><br>1: to beat (rhythmically, e.g. pulse, waves, etc.)<br><br>1: to move<br>2: to impress<br>3: to touch<br><br>1: to drive in<br>2: to hammer in<br>3: to put in<br>4: to inject<br><br>1: to type<br>2: to send<br>3: to transmit<br><br>1: to insert<br>2: to write in<br>3: to mark<br><br>1: to make (noodles, etc.)<br>2: to prepare<br><br>1: to till (soil)<br><br>1: to sprinkle<br>2: to throw<br>3: to cast<br><br>1: to do<br>2: to carry out<br>3: to play<br>4: to perform<br>5: to engage in (gambling, etc.)<br><br>1: to pay (a deposit, etc.)<br><br>1: to visit (on a pilgrimage)<br><br>1: to line (a coat)<br><br>1: to bind (a criminal)	
打つ	1408815	ぶつ	打	Godan verb with `tsu' ending, transitive verb	1: to hit (a person)<br>2: to strike<br>3: to beat	
捨てる	1322320	すてる	捨	Ichidan verb, transitive verb	1: to throw away<br>2: to cast away<br>3: to dump<br>4: to discard<br><br>1: to abandon<br>2: to desert<br>3: to leave<br><br>1: to give up<br>2: to resign	
摘む	1437060	つむ	摘	Godan verb with `mu' ending, transitive verb	1: to pluck<br>2: to pick<br>3: to trim	
挑む	1428230	いどむ	挑	Godan verb with `mu' ending, intransitive verb	1: to challenge<br>2: to throw down the gauntlet<br>3: to contend for<br>4: to tackle<br><br>1: to pressure someone for sex<br>2: to woo<br>3: to make love to	
指	1309650	ゆび	指	noun	1: finger<br>2: toe<br>3: digit	
指す	1309670	さす	指	Godan verb with `su' ending, transitive verb	1: to point<br><br>1: to nominate<br>2: to select someone<br>3: to specify some person<br><br>1: to identify<br>2: to indicate<br>3: to point out<br><br>1: to play (shogi)<br><br>1: to extend one's arm straight ahead (in dance)	差す・7
持つ	1315720	もつ	持	Godan verb with `tsu' ending	1: to hold (in one's hand)<br>2: to take<br>3: to carry<br><br>1: to possess<br>2: to have<br>3: to own<br><br>1: to maintain<br>2: to keep<br><br>1: to last<br>2: to be durable<br>3: to keep<br>4: to survive<br><br>1: to take charge of<br>2: to be in charge of	
持てる	1315730	もてる	持	Ichidan verb, intransitive verb, pre-noun adjectival	1: to be able to possess (hold, get, etc.)<br><br>1: to be well liked<br>2: to be popular<br>3: to be pampered (spoiled, doted upon, etc.)<br>4: to be welcomed<br><br>1: to endure (the tests of time, the elements, etc.)<br>2: to last<br><br>1: possessed<br><br>1: possessing riches<br>2: having wealth	持つ・1; 持つ・2; モテる
括る	1208230	くくる	括	Godan verb with `ru' ending, transitive verb	1: to tie up<br>2: to tie together<br>3: to bind<br>4: to bundle<br>5: to fasten<br><br>1: to hang (oneself)<br><br>1: to summarize<br>2: to put (it all) together<br>3: to consolidate<br><br>1: to estimate<br>2: to expect<br><br>1: to tie-dye<br><br>1: to detain<br>2: to check<br>3: to restrain	首を括る; 高を括る; 括り染め
推す	1371070	おす	推	Godan verb with `su' ending, transitive verb	1: to recommend<br>2: to endorse (e.g. a candidate)<br>3: to nominate<br><br>1: to infer<br>2: to conclude<br>3: to conjecture<br>4: to surmise<br><br>1: to think something through<br>2: to ponder deeply	
提げる	1436310	さげる	提	Ichidan verb, transitive verb	1: to take along<br>2: to hold in the hand<br><br>1: to hang (e.g. from the shoulder or waist)	下げる・さげる・1
損ねる	1406690	そこねる	損	Ichidan verb, transitive verb, auxiliary verb	1: to harm<br>2: to hurt<br>3: to injure<br>4: to wreck<br><br>1: to miss one's chance to (do something)<br>2: to fail to (do what one ought to have done)	
損う	1596510	そこなう	損	Godan verb with `u' ending, auxiliary verb	1: to harm<br>2: to hurt<br>3: to injure<br>4: to damage<br><br>1: to fail in doing	
拾う	1332570	ひろう	拾	Godan verb with `u' ending, transitive verb	1: to pick up<br>2: to find<br>3: to gather	
担ぐ	1418140	かつぐ	担	Godan verb with `gu' ending, transitive verb	1: to shoulder<br>2: to carry on one's shoulder<br><br>1: to take (someone) for a ride<br>2: to deceive<br>3: to take in	
担う	1599900	になう	担	Godan verb with `u' ending, transitive verb	1: to carry on shoulder<br>2: to bear (burden)<br>3: to shoulder (gun)	
描く	1583460	えがく	描	Godan verb with `ku' ending, transitive verb	1: to draw<br>2: to paint<br>3: to sketch<br><br>1: to depict<br>2: to describe<br><br>1: to picture in one's mind<br>2: to imagine<br><br>1: to form a certain shape (e.g. path of an action, appearance of an object, etc.)	書く・2
操	1399990	みさお	操	noun	1: chastity<br>2: fidelity<br>3: honour<br>4: honor<br>5: faith	
操る	1400010	あやつる	操	Godan verb with `ru' ending, transitive verb	1: to manipulate<br>2: to operate<br>3: to handle<br>4: to operate (e.g. a machine)<br>5: to steer (a ship)<br><br>1: to have a good command of (a language)<br>2: to be fluent in<br><br>1: to operate a puppet<br>2: to pull the strings of a puppet<br><br>1: to mastermind<br>2: to pull the strings<br>3: to control from the shadows<br><br>1: to play (a musical instrument)	
接ぐ	1385340	つぐ	接	Godan verb with `gu' ending, transitive verb	1: to join<br><br>1: to piece together<br><br>1: to set (bones)<br><br>1: to graft (trees)	
掲げる	1250600	かかげる	掲	Ichidan verb, transitive verb	1: to publish<br>2: to print<br>3: to carry (an article)<br><br>1: to put up<br>2: to hang out<br>3: to hoist<br>4: to fly (a sail)<br>5: to float (a flag, kite, etc.)<br><br>1: to tuck up (e.g. sleeves)<br>2: to roll up<br><br>1: to tout (a principle, plan, etc.)<br>2: to adopt (a slogan)<br><br>1: to stoke a fire<br>2: to fan a flame	
掛かり	1207570	かかり	掛	noun	1: starting<br>2: engaging<br><br>1: expenses<br>2: costs<br><br>1: attack (esp. a corner approach in the game of go)<br><br>1: barb<br><br>1: charge<br>2: duty<br>3: person in charge<br>4: official<br>5: clerk	カカリ; 係・かかり・1
掛かる	1207590	かかる	掛	Godan verb with `ru' ending, intransitive verb, auxiliary verb	1: to take (a resource, e.g. time or money)<br><br>1: to hang<br><br>1: to come into view<br>2: to arrive<br><br>1: to come under (a contract, a tax)<br><br>1: to start (engines, motors)<br><br>1: to attend<br>2: to deal with<br>3: to handle<br><br>1: to have started to<br>2: to be on the verge of<br><br>1: to overlap (e.g. information in a manual)<br>2: to cover<br><br>1: to (come) at<br><br>1: to be fastened<br><br>1: to be covered (e.g. with dust, a table-cloth, etc.)<br><br>1: to be caught in<br><br>1: to get a call<br><br>1: to depend on	時間がかかる; お目にかかる; 鍵がかかる; 罠にかかる; 電話が掛かる
掛け	1207600	かけ	掛	noun, noun, used as a suffix	1: credit<br><br>1: money owed on an account<br>2: bill<br><br>1: hot noodles in broth<br><br>1: proportion (of wholesale price, as tenths of list price)<br><br>1: in the midst of<br><br>1: rest<br>2: rack<br>3: hanger	掛け売り; 掛け買い; 掛け蕎麦・かけそば; 掛けうどん・かけうどん
