Kanji	On'yomi	Kun'yomi	Jinmeiyo	Grade	Stroke Count	Heisig	Heisig 6th	Newspaper Frequency	Meanings	Heisig Keyword
鮮	セン	あざ.やか		8	17	551	590	355	fresh, vivid, clear, brilliant, Korea	fresh
達	タツ, ダ	-たち	かつ, さと, て, てつ, とおる, みち	4	12	552	591	500	accomplished, reach, arrive, attain	accomplished
羨	セン, エン	うらや.む, あまり		8	13	553	592	0	envious, be jealous, covet	envious
差	サ	さ.す, さ.し		4	10	554	593	449	distinction, difference, variation, discrepancy, margin, balance	distinction
着	チャク, ジャク	き.る, -ぎ, き.せる, -き.せ, つ.く, つ.ける		3	12	555	594	376	don, arrive, wear, counter for suits of clothing	don
唯	ユイ, イ	ただ	ゆ	8	11	556	595	1292	solely, only, merely, simply	solely
焦	ショウ	こ.げる, こ.がす, こ.がれる, あせ.る		8	12	557	599	973	char, hurry, impatient, irritate, burn, scorch, singe	char
礁	ショウ			8	17	558	600	1977	reef, sunken rock	reef
集	シュウ	あつ.まる, あつ.める, つど.う	あつまり, ず	3	12	559	601	210	gather, meet, congregate, swarm, flock	gather
准	ジュン			8	10	560	602	1441	quasi-, semi-, associate	quasi-
進	シン	すす.む, すす.める	のぶ	3	11	561	603	142	advance, proceed, progress, promote	advance
雑	ザツ, ゾウ	まじ.える, まじ.る		5	14	562	604	839	miscellaneous	miscellaneous
雌	シ	め-, めす, めん		8	14	563	605	1951	feminine, female	feminine
準	ジュン	じゅん.じる, じゅん.ずる, なぞら.える, のり, ひと.しい, みずもり		5	13	564	606	425	semi-, correspond to, proportionate to, conform, imitate	semi-
奮	フン	ふる.う		6	16	565	607	1521	stirred up, be invigorated, flourish	stirred up
奪	ダツ	うば.う		8	14	566	608	974	rob, take by force, snatch away, dispossess, plunder, usurp	rob
確	カク, コウ	たし.か, たし.かめる		5	15	567	609	252	assurance, firm, tight, hard, solid, confirm, clear, evident	assurance
午	ゴ	うま		2	4	568	610	154	noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac	noon
許	キョ	ゆる.す, もと		5	11	569	611	720	permit, approve	permit
歓	カン	よろこ.ぶ	ぶ	8	15	570	612	1065	delight, joy	delight
権	ケン, ゴン	おもり, かり, はか.る		6	15	571	613	156	authority, power, rights	authority
観	カン	み.る, しめ.す		4	18	572	614	476	outlook, look, appearance, condition, view	outlook
羽	ウ	は, わ, はね	しゅう, ば	2	6	573	615	748	feathers, counter for birds, rabbits	feathers
習	シュウ, ジュ	なら.う, なら.い		3	11	574	616	706	learn	learn
翌	ヨク			6	11	575	617	1070	the following, next	the following
曜	ヨウ		てる	2	18	576	618	940	weekday	weekday
濯	タク	すす.ぐ, ゆす.ぐ		8	17	577	619	1698	laundry, wash, pour on, rinse	laundry
曰	エツ	いわ.く, のたま.う, のたま.わく, ここに		0	4	578	620	0	say, reason, pretext, history, past, flat sun radical (no. 73)	sayeth
困	コン	こま.る		6	7	579	621	843	quandary, become distressed, annoyed	quandary
固	コ	かた.める, かた.まる, かた.まり, かた.い		4	8	580	622	750	harden, set, clot, curdle	harden
国	コク	くに	くな, こ	2	8	581	624	3	country	country
団	ダン, トン	かたまり, まる.い		5	6	582	625	213	group, association	group
因	イン	よ.る, ちな.む	て	5	6	583	626	636	cause, factor, be associated with, depend on, be limited to	cause
姻	イン			8	9	584	627	1985	matrimony, marry	matrimony
園	エン	その	おん, ぞの	2	13	585	629	628	park, garden, yard, farm	park
回	カイ, エ	まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える		2	6	586	630	50	-times, round, game, revolve, counter for occurrences	-times
壇	ダン, タン			8	16	587	631	1512	podium, stage, rostrum, terrace	podium
店	テン	みせ, たな		2	8	588	632	378	store, shop	store
庫	コ, ク	くら		3	10	589	633	852	warehouse, storehouse	warehouse
庭	テイ	にわ	ば	3	10	590	634	816	courtyard, garden, yard	courtyard
庁	チョウ, テイ	やくしょ		6	5	591	635	793	government office	government office
床	ショウ	とこ, ゆか		8	7	592	636	1175	bed, counter for beds, floor, padding, tatami	bed
麻	マ, マア	あさ	あ, あざ, お	8	11	593	637	1142	hemp, flax, numb	hemp
磨	マ	みが.く, す.る	おさむ	8	16	594	638	1608	grind, polish, scour, improve, brush (teeth)	grind
心	シン	こころ, -ごころ		2	4	595	639	157	heart, mind, spirit, heart radical (no. 61)	heart
忘	ボウ	わす.れる		6	7	596	640	1129	forget	forget
忍	ニン	しの.ぶ, しの.ばせる	おし	8	7	597	642	1700	endure, bear, put up with, conceal, secrete, spy, sneak	endure
認	ニン	みと.める, したた.める		6	14	598	643	198	acknowledge, witness, discern, recognize, appreciate, believe	acknowledge
忌	キ	い.む, い.み, い.まわしい	いまわ	8	7	599	644	1882	mourning, abhor, detestable, death anniversary	mourning
志	シ	シリング, こころざ.す, こころざし	じん, べ, べし, ゆき	5	7	600	645	823	intention, plan, resolve, aspire, motive, hopes, shilling	intention
誌	シ			6	14	601	646	851	document, records	document
忠	チュウ		きよし, たた, ただ, ただし, なお	6	8	602	648	1113	loyalty, fidelity, faithfulness	loyalty
串	カン, ケン, セン	くし, つらぬ.く		8	7	603	649	2139	shish kebab, spit, skewer	shish kebab
患	カン	わずら.う	くろ	8	11	604	650	796	afflicted, disease, suffer from, be ill	afflicted
思	シ	おも.う, おもえら.く, おぼ.す		2	9	605	651	132	think	think
恩	オン		めぐみ	5	10	606	652	1418	grace, kindness, goodness, favor, mercy, blessing, benefit	grace
応	オウ, ヨウ, -ノウ	あた.る, まさに, こた.える	お, たか, まさ	5	7	607	653	266	apply, answer, yes, OK, reply, accept	apply
意	イ		もと, よし	3	13	608	654	99	idea, mind, heart, taste, thought, desire, care, liking	idea
想	ソウ, ソ	おも.う		3	13	609	656	381	concept, think, idea, thought	concept
息	ソク	いき		3	10	610	657	882	breath, respiration, son, interest (on money)	breath
憩	ケイ	いこ.い, いこ.う		8	16	611	658	1731	recess, rest, relax, repose	recess
恵	ケイ, エ	めぐ.む, めぐ.み	あや, け, さと, さとし, しげ, へい, み, やす	8	10	612	659	925	favor, blessing, grace, kindness	favor
恐	キョウ	おそ.れる, おそ.る, おそ.ろしい, こわ.い, こわ.がる		8	10	613	660	878	fear, dread, awe	fear
惑	ワク	まど.う		8	12	614	661	777	beguile, delusion, perplexity	beguile
感	カン			3	13	615	662	233	emotion, feeling, sensation	emotion
憂	ユウ	うれ.える, うれ.い, う.い, う.き	ゆ	8	15	616	663	1625	melancholy, grieve, lament, be anxious, sad, unhappy	melancholy
寡	カ			8	14	617	664	2035	widow, minority, few	widow
忙	ボウ, モウ	いそが.しい, せわ.しい, おそ.れる, うれえるさま		8	6	618	665	1475	busy, occupied, restless	busy
悦	エツ	よろこ.ぶ, よろこ.ばす	や, よし	8	10	619	666	1762	ecstasy, joy, rapture	ecstasy
恒	コウ	つね, つねに	のぶ, ひさ, ひさし	8	9	620	667	1314	constancy, always	constancy
悼	トウ	いた.む		8	11	621	668	1645	lament, grieve over	lament
悟	ゴ	さと.る		8	10	622	669	1411	enlightenment, perceive, discern, realize, understand	enlightenment
怖	フ, ホ	こわ.い, こわ.がる, お.じる, おそ.れる		8	8	623	670	1325	dreadful, be frightened, fearful	dreadful
慌	コウ	あわ.てる, あわ.ただしい		8	12	624	671	1826	disconcerted, be confused, lose one's head	disconcerted
悔	カイ	く.いる, く.やむ, くや.しい		8	9	625	672	1460	repent, regret	repent
憎	ゾウ	にく.む, にく.い, にく.らしい, にく.しみ		8	14	626	673	1808	hate, detest	hate
慣	カン	な.れる, な.らす		5	14	627	674	1177	accustomed, get used to, become experienced	accustomed
愉	ユ	たの.しい, たの.しむ	ゆう	8	12	628	675	1974	pleasure, happy, rejoice	pleasure
惰	ダ			8	12	629	676	2336	lazy, laziness	lazy
慎	シン	つつし.む, つつし, つつし.み	ちか, のり, まこと, みつ	8	13	630	677	999	humility, be careful, discreet, prudent	humility
憾	カン	うら.む		8	16	631	678	1682	remorse, regret, be sorry	remorse
憶	オク			8	16	632	679	1324	recollection, think, remember	recollection
慕	ボ	した.う		8	14	633	683	2100	pining, yearn for, love dearly, adore	pining
添	テン	そ.える, そ.う, も.える, も.う	そえ, ぞい	8	11	634	684	1501	annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate	annexed
必	ヒツ	かなら.ず		4	5	635	685	265	invariably, certain, inevitable	invariably
泌	ヒツ, ヒ			8	8	636	686	2112	ooze, flow, soak in, penetrate, secrete	ooze
手	シュ, ズ	て, て-, -て, た-		1	4	637	687	60	hand	hand
看	カン	み.る		6	9	638	688	1060	watch over, see	watch over
摩	マ	ま.する, さす.る, す.る		8	15	639	689	1252	chafe, rub, polish, grind, scrape	chafe
我	ガ	われ, わ, わ.が-, わが-	あ, あが, か	6	7	640	690	829	ego, I, selfish, our, oneself	ego
義	ギ		ただし, ちか, のり, よし	5	13	641	691	415	righteousness, justice, morality, honor, loyalty, meaning	righteousness
議	ギ		かた, のり	4	20	642	692	25	deliberation, consultation, debate, consideration	deliberation
犠	ギ, キ	いけにえ		8	17	643	693	1189	sacrifice	sacrifice
抹	マツ			8	8	644	694	2006	rub, paint, erase	rub
抱	ホウ	だ.く, いだ.く, かか.える	たば	8	8	645	697	871	embrace, hug, hold in arms	embrace
搭	トウ			8	12	646	698	1472	board, load (a vehicle), ride	board
抄	ショウ		さ, り	8	7	647	699	2328	extract, selection, summary, copy, spread thin	extract
抗	コウ	あらが.う		8	7	648	700	666	confront, resist, defy, oppose	confront
批	ヒ			6	7	649	701	568	criticism, strike	criticism
招	ショウ	まね.く		5	8	650	702	840	beckon, invite, summon, engage	beckon
拓	タク	ひら.く	つ, ひろ	8	8	651	703	1526	clear (the land), open, break up (land)	clear (the land)
拍	ハク, ヒョウ			8	8	652	704	1373	clap, beat (music)	clap
打	ダ, ダアス	う.つ, う.ち-, ぶ.つ	うち	3	5	653	705	239	strike, hit, knock, pound, dozen	strike
拘	コウ	かか.わる		8	8	654	706	1336	arrest, seize, concerned, adhere to, despite	arrest
捨	シャ	す.てる		6	11	655	707	1266	discard, throw away, abandon, resign, reject, sacrifice	discard
拐	カイ			8	8	656	708	1498	kidnap, falsify	kidnap
摘	テキ	つ.む	つむ	8	14	657	709	564	pinch, pick, pluck, trim, clip, summarize	pinch
挑	チョウ	いど.む		8	9	658	710	989	challenge, contend for, make love to	challenge
指	シ	ゆび, さ.す, -さ.し	い, いぶ, さし, さす	3	9	659	711	155	finger, point to, indicate, put into, play (chess), measure (ruler)	finger
持	ジ	も.つ, -も.ち, も.てる	もち, もつ	3	9	660	712	119	hold, have	hold
括	カツ	くく.る		8	9	661	714	1026	fasten, tie up, arrest, constrict	fasten
揮	キ	ふる.う		6	12	662	715	946	brandish, wave, wag, swing, shake	brandish
推	スイ	お.す		6	11	663	716	507	conjecture, infer, guess, suppose, support, push (for)	conjecture
揚	ヨウ	あ.げる, -あ.げ, あ.がる	あがり	8	12	664	717	1316	raise, elevate, hoist, praise, extol, fry in deep fat	hoist
提	テイ, チョウ, ダイ	さ.げる		5	12	665	718	254	propose, take along, carry in hand	propose
損	ソン	そこ.なう, そこな.う, -そこ.なう, そこ.ねる, -そこ.ねる		5	13	666	719	807	damage, loss, disadvantage, hurt, injure	damage
拾	シュウ, ジュウ	ひろ.う		3	9	667	720	1479	pick up, gather, find, go on foot, ten	pick up
担	タン	かつ.ぐ, にな.う		6	8	668	721	422	shouldering, carry, raise, bear	shouldering
拠	キョ, コ	よ.る		8	8	669	722	858	foothold, based on, follow, therefore	foothold
描	ビョウ	えが.く, か.く		8	11	670	723	876	sketch, compose, write, draw, paint	sketch
操	ソウ, サン	みさお, あやつ.る	さお, みさ	6	16	671	724	1016	maneuver, manipulate, operate, steer, chastity, virginity, fidelity	maneuver
接	セツ, ショウ	つ.ぐ		5	11	672	725	523	touch, contact, adjoin, piece together	touch
掲	ケイ	かか.げる		8	11	673	726	899	put up (a notice), put up, hoist, display, hang out, publish, describe	put up (a notice)
掛	カイ, ケイ	か.ける, -か.ける, か.け, -か.け, -が.け, か.かる, -か.かる, -が.かる, か.かり, -が.かり, かかり, -がかり	かけ	8	11	674	727	1027	hang, suspend, depend, arrive at, tax, pour	hang
研	ケン	と.ぐ	のり	3	9	675	729	336	polish, study of, sharpen	polish
戒	カイ	いまし.める		8	7	676	730	1062	commandment	commandment
械	カイ	かせ		4	11	677	732	1321	contraption, fetter, machine, instrument	contraption
鼻	ビ	はな		3	14	678	733	1632	nose, snout	nose
刑	ケイ		おさか, ぎょう	8	6	679	734	864	punish, penalty, sentence, punishment	punish
型	ケイ	かた, -がた		4	9	680	735	482	mould, type, model	mould
才	サイ			2	3	681	736	1497	genius, years old, cubic shaku	genius
財	ザイ, サイ, ゾク	たから		5	10	682	737	494	property, money, wealth, assets	property
材	ザイ		き, さい	4	7	683	738	565	lumber, log, timber, wood, materials, ingredients, talent	lumber
存	ソン, ゾン	ながら.える, あ.る, たも.つ と.う	あり, まさ	6	6	684	739	577	exist, suppose, be aware of, believe, feel	suppose
在	ザイ	あ.る	あり	5	6	685	740	211	exist, outskirts, suburbs, located in	exist
乃	ナイ, ダイ, ノ, アイ	の, すなわ.ち, なんじ	おさむ, お, のり	9	2	686	741	1978	from, possessive particle, whereupon, accordingly	from
携	ケイ	たずさ.える, たずさ.わる		8	13	687	742	1017	portable, carry (in hand), armed with, bring along	portable
及	キュウ	およ.ぶ, およ.び, および, およ.ぼす	おい, の	8	3	688	743	544	reach out, exert, exercise, cause	reach out
吸	キュウ	す.う		6	6	689	744	1054	suck, imbibe, inhale, sip	suck
扱	ソウ, キュウ	あつか.い, あつか.う, あつか.る, こ.く		8	6	690	745	1057	handle, entertain, thresh, strip	handle
丈	ジョウ	たけ, だけ	とも, ますら	8	3	691	746	1375	length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely	length
史	シ		あきら, あや, お, こ, ちか, とし, なか, のぶ, ひさ, ひと, ふみ	4	5	692	747	511	history, chronicle	history
吏	リ		さと, し	8	6	693	748	0	officer, an official	officer
更	コウ	さら, さら.に, ふ.ける, ふ.かす		8	7	694	749	861	grow late, night watch, sit up late, of course, renew, renovate, again, more and more, further	grow late
硬	コウ	かた.い		8	12	695	750	1101	stiff, hard	stiff
又	ユウ	また, また-, また.の-	やす	8	2	696	752	1874	or again, furthermore, on the other hand	or again
双	ソウ	ふた, たぐい, ならぶ, ふたつ	ふ	8	4	697	753	1029	pair, set, comparison, counter for pairs	pair
桑	ソウ	くわ	こ	8	10	698	754	1650	mulberry	mulberry
隻	セキ			8	10	699	755	1546	vessels, counter for ships, fish, birds, arrows, one of a pair	vessels
護	ゴ	まも.る	もり	5	20	700	756	351	safeguard, protect	safeguard
獲	カク	え.る		8	16	701	757	964	seize, get, find, earn, acquire, can, may, able to	seize
奴	ド	やつ, やっこ	ぬ	8	5	702	758	1932	guy, slave, manservant, fellow	guy
怒	ド, ヌ	いか.る, おこ.る		8	9	703	759	1221	angry, be offended	angry
友	ユウ	とも	う, ど, ゆ	2	4	704	760	622	friend	friend
抜	バツ, ハツ, ハイ	ぬ.く, -ぬ.く, ぬ.き, ぬ.ける, ぬ.かす, ぬ.かる	ぬき	8	7	705	761	726	slip out, extract, pull out, pilfer, quote, remove, omit	slip out
投	トウ	な.げる, -な.げ		3	7	706	762	236	throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss	throw
没	ボツ, モツ	おぼ.れる, しず.む, ない		8	7	707	763	1385	drown, sink, hide, fall into, disappear, die	drown
設	セツ	もう.ける	した	5	11	708	765	145	establishment, provision, prepare	establishment
撃	ゲキ	う.つ		8	15	709	766	473	beat, attack, defeat, conquer	beat
殻	カク, コク, バイ	から, がら		8	11	710	767	1892	husk, nut shell	husk
支	シ	ささ.える, つか.える, か.う		5	4	711	768	159	branch, support, sustain, branch radical (no. 65)	branch
技	ギ	わざ		5	7	712	769	434	skill, art, craft, ability, feat, performance, vocation, arts	skill
枝	シ	えだ	え, ぐさ	5	8	713	770	1401	bough, branch, twig, limb, counter for branches	bough
肢	シ			8	8	714	771	2289	limb, arms & legs	limb
茎	ケイ, キョウ	くき		8	8	715	772	2013	stalk, stem	stalk
怪	カイ, ケ	あや.しい, あや.しむ		8	8	716	773	1634	suspicious, mystery, apparition	suspicious
軽	ケイ	かる.い, かろ.やか, かろ.んじる		3	12	717	774	790	lightly, trifling, unimportant	lightly
叔	シュク		よし	8	8	718	775	1950	uncle, youth	uncle
督	トク		ただ, ただし	8	13	719	776	534	coach, command, urge, lead, supervise	coach
寂	ジャク, セキ	さび, さび.しい, さび.れる, さみ.しい		8	11	720	777	1599	loneliness, quietly, mellow, mature, death of a priest	loneliness
淑	シュク	しと.やか	すく, とし, よし	8	11	721	778	1922	graceful, gentle, pure	graceful
反	ハン, ホン, タン, ホ	そ.る, そ.らす, かえ.す, かえ.る, -かえ.る	そり, た	3	4	722	779	191	anti-	anti-
坂	ハン	さか	か, ざ	3	7	723	780	865	slope, incline, hill	slope
板	ハン, バン	いた		3	8	724	781	926	plank, board, plate, stage	plank
返	ヘン	かえ.す, -かえ.す, かえ.る, -かえ.る		3	7	725	782	685	return, answer, fade, repay	return
販	ハン			8	11	726	783	627	marketing, sell, trade	marketing
爪	ソウ	つめ, つま-		8	4	727	784	2025	claw, nail, talon	claw
妥	ダ		やす	8	7	728	785	1102	gentle, peace, depravity	gentle
乳	ニュウ	ちち, ち		6	8	729	786	1289	milk, breasts	milk
浮	フ	う.く, う.かれる, う.かぶ, む, う.かべる	うき	8	10	730	787	776	floating, float, rise to surface	floating
将	ショウ, ソウ	まさ.に, はた, まさ, ひきい.る, もって	かつ, かつり, すすむ, たか, ゆき	6	10	731	789	634	leader, commander, general, admiral, or, and again, soon, from now on, just about	leader
奨	ショウ, ソウ	すす.める	まさし	8	13	732	790	1445	exhort, urge, encourage	exhort
採	サイ	と.る		5	11	733	792	607	pick, take, fetch, take up	pick
菜	サイ	な	よう	4	11	734	793	1327	vegetable, side dish, greens	vegetable
受	ジュ	う.ける, -う.け, う.かる	じょ	3	8	735	794	136	accept, undergo, answer (phone), take, get, catch, receive	accept
授	ジュ	さず.ける, さず.かる		5	11	736	795	535	impart, instruct, grant, confer	impart
愛	アイ	いと.しい, かな.しい, め.でる, お.しむ, まな	あ, あし, え, かな, なる, めぐ, めぐみ, よし, ちか	4	13	737	796	640	love, affection, favourite	love
払	フツ, ヒツ, ホツ	はら.う, -はら.い, -ばら.い	はらい	8	5	738	798	813	pay, clear out, prune, banish, dispose of	pay
広	コウ	ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる		2	5	739	799	263	wide, broad, spacious	wide
拡	カク, コウ	ひろ.がる, ひろ.げる, ひろ.める		6	8	740	801	611	broaden, extend, expand, enlarge	broaden
鉱	コウ	あらがね		5	13	741	802	1376	mineral, ore	mineral
弁	ベン, ヘン	かんむり, わきま.える, わ.ける, はなびら, あらそ.う	べ	5	5	742	803	619	valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap	valve
雄	ユウ	お-, おす, おん	かつ, たけ, つよし, ゆ, よう	8	12	743	804	669	masculine, male, hero, leader, superiority, excellence	masculine
台	ダイ, タイ	うてな, われ, つかさ		2	5	744	805	262	pedestal, a stand, counter for machines and vehicles	pedestal
怠	タイ	おこた.る, なま.ける		8	9	745	806	1703	neglect, laziness	neglect
治	ジ, チ	おさ.める, おさ.まる, なお.る, なお.す	し, ぢ, はり, はる, みち	4	8	746	807	109	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve	reign
始	シ	はじ.める, -はじ.める, はじ.まる	もと	3	8	747	809	244	commence, begin	commence
胎	タイ			8	9	748	810	1861	womb, uterus	womb
窓	ソウ, ス	まど, てんまど, けむだし		6	11	749	811	1186	window, pane	window
去	キョ, コ	さ.る, -さ.る	い	3	5	750	812	440	gone, past, quit, leave, elapse, eliminate, divorce	gone
法	ホウ, ハッ, ホッ, フラン	のり	ほ	4	8	751	813	100	method, law, rule, principle, model, system	method
会	カイ, エ	あ.う, あ.わせる, あつ.まる	あい, い	2	6	752	814	4	meeting, meet, party, association, interview, join	meeting
至	シ	いた.る	のぶ, のり, みち, よし	6	6	753	815	996	climax, arrive, proceed, reach, attain, result in	climax
室	シツ	むろ		2	9	754	816	550	room, apartment, chamber, greenhouse, cellar	room
到	トウ	いた.る		8	8	755	817	1032	arrival, proceed, reach, attain, result in	arrival
致	チ	いた.す		8	10	756	818	870	doth, do, send, forward, cause, exert, incur, engage	doth
互	ゴ	たが.い, かたみ.に		8	4	757	819	914	mutually, reciprocally, together	mutually
棄	キ	す.てる		8	13	758	820	901	abandon, throw away, discard, resign, reject, sacrifice	abandon
育	イク	そだ.つ, そだ.ち, そだ.てる, はぐく.む	やす	3	8	759	821	369	bring up, grow up, raise, rear	bring up
撤	テツ			8	15	760	822	811	remove, withdraw, disarm, dismantle, reject, exclude	remove
充	ジュウ	あ.てる, み.たす	あつ, のぶ, まさ, みち, みつ, よし	8	6	761	823	949	allot, fill	allot
銃	ジュウ	つつ		8	14	762	824	1013	gun, arms	gun
硫	リュウ			8	12	763	825	1867	sulphur	sulphur
流	リュウ, ル	なが.れる, なが.れ, なが.す, -なが.す	な, ながれ, めぐる	3	10	764	826	280	current, a sink, flow, forfeit	current
允	イン	じょう, まこと.に, ゆるす	まこと, のぶ, まさ, みつ, すけ, よし, ちか, とも	9	4	765	827	2358	license, sincerity, permit	license
唆	サ	そそ.る, そそのか.す		8	10	766	828	1278	tempt, seduce, instigate, promote	tempt
出	シュツ, スイ	で.る, -で, だ.す, -だ.す, い.でる, い.だす	いず, いづ, いで, じ, すっ, すつ, てん	1	5	767	829	13	exit, leave, go out, come out, put out, protrude	exit
山	サン, セン	やま	さ, やの, やん	1	3	768	830	131	mountain	mountain
拙	セツ	つたな.い		8	8	769	831	1938	bungling, clumsy, unskillful	bungling
岩	ガン	いわ		2	8	770	832	787	boulder, rock, cliff	boulder
炭	タン	すみ		3	9	771	833	1307	charcoal, coal	charcoal
岐	キ, ギ		たかし, また	8	7	772	834	1428	branch off, fork in road, scene, arena, theater	branch off
峠		とうげ		8	9	773	835	1941	mountain peak, mountain pass, climax, crest, (kokuji)	mountain peak
崩	ホウ	くず.れる, -くず.れ, くず.す		8	11	774	836	778	crumble, die, demolish, level	crumble
密	ミツ	ひそ.か		6	11	775	837	815	secrecy, density (pop), minuteness, carefulness	secrecy
蜜	ミツ, ビツ			8	14	776	838	2203	honey, nectar, molasses	honey
嵐	ラン	あらし	ぞれ	8	12	777	839	1910	storm, tempest	storm
崎	キ	さき, さい, みさき		8	11	778	840	533	promontory, cape, spit	promontory
入	ニュウ, ジュ	い.る, -い.る, -い.り, い.れる, -い.れ, はい.る	いり, いる, に, の, りり	1	2	779	842	56	enter, insert	enter
込		-こ.む, こ.む, こ.み, -こ.み, こ.める	こみ, ごめ	8	5	780	843	675	crowded, mixture, in bulk, included, (kokuji)	crowded
分	ブン, フン, ブ	わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ	いた, わけ	2	4	781	844	24	part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100	part
貧	ヒン, ビン	まず.しい		5	11	782	845	1211	poverty, poor	poverty
頒	ハン	わか.つ		8	13	783	846	2287	distribute, disseminate, partition, understand	partition
公	コウ, ク	おおやけ	あきら, き, きみ, きん, たか, ただし, とも, ひろ, まさ	2	4	784	847	118	public, prince, official, governmental	public
松	ショウ	まつ	おお, しょ, ま, まっ	4	8	785	848	471	pine tree	pine tree
翁	オウ	おきな	お, おな	8	10	786	849	2064	venerable old man	venerable old man
訟	ショウ			8	11	787	850	1061	sue, accuse	sue
谷	コク	たに, きわ.まる	がい, がえ, がや, せ, たり, たん, や	2	7	788	851	508	valley	valley
浴	ヨク	あ.びる, あ.びせる	えき, さこ	4	10	789	852	1136	bathe, be favored with, bask in	bathe
容	ヨウ	い.れる	かた, ひろ, まさ	5	10	790	853	264	contain, form, looks	contain
溶	ヨウ	と.ける, と.かす, と.く		8	13	791	854	1364	melt, dissolve, thaw	melt
欲	ヨク	ほっ.する, ほ.しい		6	11	792	855	902	longing, covetousness, greed, passion, desire, craving	longing
裕	ユウ		すけ, のり, ひろ, ひろし, やす, ゆ, ゆたか	8	12	793	856	1048	abundant, rich, fertile	abundant
鉛	エン	なまり		8	13	794	857	1710	lead	lead (metal)
沿	エン	そ.う, -ぞ.い		6	8	795	858	1121	run alongside, follow along, run along, lie along	run alongside
賞	ショウ	ほ.める		4	15	796	859	426	prize, reward, praise	prize
党	トウ	なかま, むら		6	10	797	860	39	party, faction, clique	party
堂	ドウ			4	11	798	861	1010	public chamber, hall	public chamber
常	ジョウ	つね, とこ-	とき, のぶ, ひ, ひた	5	11	799	862	293	usual, ordinary, normal, regular	usual
裳	ショウ	も, もすそ		9	14	800	863	0	skirt	skirt
掌	ショウ	てのひら, たなごころ		8	12	801	864	1757	manipulate, rule, administer, conduct, palm of hand	manipulate
皮	ヒ	かわ		3	5	802	865	1092	pelt, skin, hide, leather, skin radical (no. 107)	pelt
波	ハ	なみ	ひら, みな, みなみ, わ	3	8	803	866	740	waves, billows, Poland	waves
婆	バ	ばば, ばあ		8	11	804	867	2435	old woman, grandma, wet nurse	old woman
披	ヒ			8	8	805	868	1438	expose, open	expose
破	ハ	やぶ.る, やぶ.れる, わ.れる		5	10	806	869	590	rend, rip, tear, break, destroy, defeat, frustrate	rend
被	ヒ	こうむ.る, おお.う, かぶ.る, かぶ.せる	ぎぬ	8	10	807	870	431	incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving	incur
残	ザン, サン	のこ.る, のこ.す, そこな.う, のこ.り		4	10	808	871	380	remainder, leftover, balance	remainder
殉	ジュン			8	10	809	872	2080	martyrdom, follow by resigning	martyrdom
殊	シュ	こと		8	10	810	873	1361	particularly, especially, exceptionally	particularly
殖	ショク	ふ.える, ふ.やす	うえ, え, げ	8	12	811	874	1362	augment, increase, multiply, raise	augment
列	レツ, レ		れっ	3	6	812	875	927	file, row, rank, tier, column	file
裂	レツ	さ.く, さ.ける, -ぎ.れ		8	12	813	876	1041	split, rend, tear	split
烈	レツ	はげ.しい	やす	8	10	814	877	1397	ardent, violent, vehement, furious, severe, extreme	ardent
死	シ	し.ぬ, し.に-		3	6	815	878	229	death, die	death
葬	ソウ	ほうむ.る	はふり	8	12	816	879	754	interment, bury, shelve	interment
瞬	シュン	またた.く, まじろ.ぐ		8	18	817	880	1265	wink, blink, twinkle	wink
耳	ジ	みみ	がみ	1	6	818	881	1328	ear	ear
取	シュ	と.る, と.り, と.り-, とり, -ど.り	どる	3	8	819	882	122	take, fetch, take up	take
趣	シュ	おもむき, おもむ.く		8	15	820	883	1153	purport, gist, elegance, interest, proceed to, tend, become	gist
最	サイ, シュ	もっと.も, つま	も	4	12	821	884	82	utmost, most, extreme	utmost
撮	サツ	と.る, つま.む, -ど.り		8	15	822	885	1023	snapshot, take pictures	snapshot
恥	チ	は.じる, はじ, は.じらう, は.ずかしい		8	10	823	886	1575	shame, dishonor	shame
職	ショク, ソク		もと	5	18	824	887	305	post, employment, work	post
聖	セイ, ショウ	ひじり	きよ, さと, さとし, せ, たか, ただ, ひろ, まさ, み	6	13	825	888	1165	holy, saint, sage, master, priest	holy
敢	カン	あ.えて, あ.えない, あ.えず		8	12	826	889	1859	daring, brave, bold, sad, tragic, pitiful	daring
聴	チョウ, テイ	き.く, ゆる.す	きく	8	17	827	890	781	listen, headstrong, naughty, careful inquiry	listen
懐	カイ, エ	ふところ, なつ.かしい, なつ.かしむ, なつ.く, なつ.ける, なず.ける, いだ.く, おも.う	かね	8	16	828	891	1493	pocket, feelings, heart, yearn, miss someone, become attached to, bosom, breast	pocket
